label,itemid,
1,8149633152,
2,8149633152,
3,8149633152,
4,8149633152,
5,8149633152,
6,8149633152,
7,8149633152,
8,8149633152,
9,8149633152,
10,8149633152,
11,8149633152,
12,8149633152,
13,8149633152,
14,8149633152,
15,8149633152,
16,8149633152,
17,8149633152,
18,8149633152,
19,8149633152,
20,8149633152,
21,8149633152,
22,8149633152,
23,8149633152,
24,8149633152,
25,8149633152,
26,8149633152,
27,8149633152,
28,8149633152,
29,8149633152,
30,8149633152,
31,8149633152,
32,8149633152,
33,8149633152,
34,8149633152,
35,8149633152,
36,8149633152,
37,8149633152,
38,8149633152,
39,8149633152,
40,8149633152,
41,8149633152,
42,8149633152,
43,8149633152,
44,8149633152,
45,8149633152,
46,8149633152,
47,8149633152,
48,8149633152,
49,8149633152,
50,8149633152,
51,7332888202,
52,7332888202,
53,7332888202,
54,7332888202,
55,7332888202,
56,7332888202,
57,7332888202,
58,7332888202,
59,7332888202,
60,7332888202,
61,7332888202,
62,7332888202,
63,7332888202,
64,7332888202,
65,7332888202,
66,7332888202,
67,7332888202,
68,7332888202,
69,7332888202,
70,7332888202,
71,7332888202,
72,7332888202,
73,7332888202,
74,7332888202,
75,7332888202,
76,7332888202,
77,7332888202,
78,7332888202,
79,7332888202,
80,7332888202,
81,7332888202,
82,7332888202,
83,7332888202,
84,7332888202,
85,7332888202,
86,7332888202,
87,7332888202,
88,7332888202,
89,7332888202,
90,7332888202,
91,7332888202,
92,7332888202,
93,7332888202,
94,7332888202,
95,7332888202,
96,7332888202,
97,7332888202,
98,7332888202,
99,7332888202,
100,7332888202,
101,5406322642,
102,5406322642,
103,5406322642,
104,5406322642,
105,5406322642,
106,5406322642,
107,5406322642,
108,5406322642,
109,5406322642,
110,5406322642,
111,5406322642,
112,5406322642,
113,5406322642,
114,5406322642,
115,5406322642,
116,5406322642,
117,5406322642,
118,5406322642,
119,5406322642,
120,5406322642,
121,5406322642,
122,5406322642,
123,5406322642,
124,5406322642,
125,5406322642,
126,5406322642,
127,5406322642,
128,5406322642,
129,5406322642,
130,5406322642,
131,5406322642,
132,5406322642,
133,5406322642,
134,5406322642,
135,5406322642,
136,5406322642,
137,5406322642,
138,5406322642,
139,5406322642,
140,5406322642,
141,5406322642,
142,5406322642,
143,5406322642,
144,5406322642,
145,5406322642,
146,5406322642,
147,5406322642,
148,5406322642,
149,5406322642,
150,5406322642,
151,3933001547,
152,3933001547,
153,3933001547,
154,3933001547,
155,3933001547,
156,3933001547,
157,3933001547,
158,3933001547,
159,3933001547,
160,3933001547,
161,3933001547,
162,3933001547,
163,3933001547,
164,3933001547,
165,3933001547,
166,3933001547,
167,3933001547,
168,3933001547,
169,3933001547,
170,3933001547,
171,3933001547,
172,3933001547,
173,3933001547,
174,3933001547,
175,3933001547,
176,3933001547,
177,3933001547,
178,3933001547,
179,3933001547,
180,3933001547,
181,3933001547,
182,3933001547,
183,3933001547,
184,3933001547,
185,3933001547,
186,3933001547,
187,3933001547,
188,3933001547,
189,3933001547,
190,3933001547,
191,3933001547,
192,3933001547,
193,3933001547,
194,3933001547,
195,3933001547,
196,3933001547,
197,3933001547,
198,3933001547,
199,3933001547,
200,3933001547,
201,5417061858,
202,5417061858,
203,5417061858,
204,5417061858,
205,5417061858,
206,5417061858,
207,5417061858,
208,5417061858,
